user_id,n_chosen,n_rejected,mean_chosen_length,mean_rejected_length,length_pref_ratio,chosen_length_std,length_score_corr,length_score_p,prefers_longer
user0,5,5,200.2,172.4,1.1612529002320184,78.8553105377184,0.0,1.0,True
user1,22,32,236.13636363636363,175.21875,1.3476660667671903,125.15346777404041,0.46031033428195306,0.0004613582817550284,True
user10,15,24,100.6,75.625,1.3302479338842974,80.92613916405502,0.4370914624309105,0.005397454966301903,True
user100,35,47,134.42857142857142,112.06382978723404,1.1995714556944859,66.82654977703129,0.35551230805738016,0.0010467339786561253,True
user1001,44,47,68.06818181818181,70.8936170212766,0.9601454218050856,44.96938237556381,0.34291444317496494,0.0008763752971182341,False
user1002,20,32,83.25,75.34375,1.1049357113231024,42.24319471820284,0.3176661171770439,0.021742706605103853,True
user1003,22,33,113.45454545454545,93.75757575757575,1.2100840336134455,63.52789456947043,-0.18165076072268652,0.1844132401970938,True
user1004,19,31,94.10526315789474,88.83870967741936,1.0592821924091274,54.14881515624774,0.23821158925616703,0.09573659619214193,True
user1005,26,35,91.1923076923077,81.82857142857142,1.1144311345079503,49.89220629036874,0.07531991241124719,0.5639949682983743,True
user1007,23,33,117.6086956521739,103.72727272727273,1.1338261631673208,68.62990800089797,0.3305014656233318,0.012853276234704874,True
user1008,45,57,100.73333333333333,92.28070175438596,1.091596958174905,55.18107566105532,0.18048971960919352,0.06947314670772574,True
user1009,16,20,94.125,90.35,1.041781959048146,47.48667576278634,0.052159949312932954,0.7625602026262418,True
user101,14,22,58.92857142857143,80.04545454545455,0.7361888537357021,29.339062906727236,-0.09012865878852483,0.6011460539965132,False
user1010,26,36,89.6923076923077,82.47222222222223,1.0875456641707903,35.37901293440813,0.3034302538688735,0.016511462790846088,True
user1011,23,30,77.1304347826087,70.7,1.0909538158784824,43.47143424667672,-0.06885569645489661,0.6242003555564037,True
user1012,6,9,90.0,71.88888888888889,1.2519319938176199,62.81454184077654,0.08740748201220974,0.7567494352034237,True
user1014,21,31,138.0,105.51612903225806,1.3078569244879241,51.38185709075955,0.6180063412960303,1.0533435966934325e-06,True
user1015,18,28,124.55555555555556,91.46428571428571,1.36179443793657,65.70153238718784,0.32367285346610425,0.02821491122919641,True
user1016,13,24,70.53846153846153,82.83333333333333,0.8515709642470206,51.989074865066065,0.1772869970783427,0.2938443995778478,False
user1017,37,49,62.7027027027027,53.02040816326531,1.1826144851549008,41.764374359834136,0.07082474261802216,0.5169816333571629,True
user1019,19,30,132.05263157894737,99.23333333333333,1.3307285681452539,62.71193429962998,0.3529328786343217,0.012869121195191213,True
user102,13,21,47.15384615384615,59.42857142857143,0.7934541420118343,17.373039031991514,-0.3794152988142211,0.026891301277858836,False
user1020,21,32,105.28571428571429,79.1875,1.329574923892209,64.48413821733725,0.4003627697078214,0.002972930174749464,True
user1021,14,25,122.42857142857143,72.0,1.7003968253968254,45.57053290655877,0.3589121618255206,0.024843373105152382,True
user1022,22,34,132.22727272727272,97.76470588235294,1.3525051963680121,51.713310945303235,0.2900429464249613,0.030130082917638263,True
user1023,16,27,114.75,80.25925925925925,1.4297415782187357,57.67744359799592,0.3035272118910872,0.04785352329841302,True
user1024,18,29,81.83333333333333,64.06896551724138,1.277269465374955,48.450719522234365,0.08397359755399277,0.5746716698557767,True
user1025,20,31,79.95,84.29032258064517,0.9485074626865672,52.173245059129684,-0.29840032319656723,0.0334288696014257,False
user1026,20,32,106.65,80.46875,1.325359223300971,55.15457823245501,0.31240789806832997,0.024145535550691283,True
user1027,24,35,97.25,73.34285714285714,1.3259641604986365,57.57332281534565,0.22644268142041923,0.08459882999051099,True
user1028,23,34,104.21739130434783,87.79411764705883,1.1870657636006117,65.6234028521103,0.25690327451512246,0.05371589177909873,True
user1029,18,30,142.83333333333334,121.5,1.1755829903978052,58.078730090187825,0.03912847836869602,0.7917450292799054,True
user103,24,35,56.541666666666664,61.31428571428572,0.9221613855234544,44.63647533750347,-0.03702303272062406,0.780712890721543,False
user1030,15,26,61.266666666666666,65.1923076923077,0.9397836774827925,18.613495701297545,0.15833920844464822,0.3227770492748454,False
user1031,26,35,70.26923076923077,73.11428571428571,0.9610875642528632,37.88500585507482,-0.2195507432330898,0.08911526281597491,False
user1032,18,30,74.72222222222223,83.26666666666667,0.8973845743261276,39.50500046485755,-0.17536283522901414,0.23318723057864144,False
user1033,22,33,133.8181818181818,106.27272727272727,1.259195893926433,88.64978919302033,0.22601256948553844,0.09707526407561164,True
user1034,27,39,80.18518518518519,78.64102564102564,1.0196355468608487,46.683359742177494,0.026437564444634742,0.8331113377789681,True
user1035,15,26,107.13333333333334,72.84615384615384,1.4706793382611758,49.14450347925211,0.4073073067850291,0.008215433438723732,True
user1036,17,29,123.94117647058823,94.3103448275862,1.31418432089472,48.031203813691654,0.13661098221161383,0.3653084904981595,True
user1037,20,30,101.95,73.36666666666666,1.3895956383462065,81.95698566931314,0.6079149950255651,2.8371888878556402e-06,True
user1038,17,29,135.35294117647058,93.48275862068965,1.4478920302905374,63.9475347236454,0.5138264479681783,0.00025984918877727564,True
user1039,23,32,101.8695652173913,84.875,1.2002305180252288,59.881262473858534,-0.007856243044209496,0.9546040957425868,True
user104,25,33,74.2,71.93939393939394,1.0314237573715248,64.4316692318304,0.3914953309126922,0.0023741174930120837,True
user1040,17,28,109.41176470588235,91.03571428571429,1.2018553988876837,63.969716018394585,0.2104526530528854,0.1652499476089497,True
user1041,15,27,60.4,49.48148148148148,1.2206586826347305,29.45233437267749,0.3725779254215151,0.015102377521029364,True
